Company,Title,Location,Salary,Info,Post date,Company Verified,HR Agency,Reservation
"Бойченко М.С., ФОП",Програміст django,Дистанційно,41 500 – 124 500 грн,https://www.work.ua/jobs/7290940,2025-10-21 11:07:43,True,False,False
SoftUp,"Програміст 1С, BAS",Дистанційно,60 000 – 100 000 грн,https://www.work.ua/jobs/5569295,2025-10-21 10:05:46,True,False,False
AFKI,Flutter developer,Дистанційно,100 000 – 120 000 грн,https://www.work.ua/jobs/7289485,2025-10-20 20:22:24,False,False,False
"Ковальчук Л.М., ФОП",Unity 3D Mobile Game Developer,Дистанційно,30 000 грн,https://www.work.ua/jobs/5889014,2025-10-20 19:10:38,True,False,False
ISpace,Розробник 1C,Дистанційно,Не вказано,https://www.work.ua/jobs/7288003,2025-10-20 16:03:45,True,False,False
Mainflow,Middle Webflow Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7287781,2025-10-20 15:42:39,False,False,False
Всеукраїнські системи управління,"Програміст 1C, BAS",Дистанційно,Не вказано,https://www.work.ua/jobs/6125788,2025-10-20 14:35:14,True,False,False
DevIT Group,"Full Stack Web developer (React, Node.js)",Дистанційно,65 000 – 84 000 грн,https://www.work.ua/jobs/7287139,2025-10-20 14:30:42,True,False,False
"Бахмат А.О., ФОП",Middle React Developer,Дистанційно,65 000 – 100 000 грн,https://www.work.ua/jobs/7286803,2025-10-20 13:58:26,True,False,False
Bxnda.com,"Next.js-розробник (Cursor, Backend)",Дистанційно,80 000 – 100 000 грн,https://www.work.ua/jobs/7286458,2025-10-20 13:20:37,False,False,False
"Зарічук М.Г., ФОП",Розробник 1C,Дистанційно,80 000 – 96 000 грн,https://www.work.ua/jobs/7286374,2025-10-20 13:13:13,False,False,False
MX Studio,"Програміст (PHP, Laravel)",Дистанційно,40 000 – 70 000 грн,https://www.work.ua/jobs/3904342,2025-10-20 12:14:13,True,False,False
Obsessive lingerie,"Програміст з вигруження файлів, системний адміністратор",Дистанційно,Не вказано,https://www.work.ua/jobs/7075720,2025-10-20 11:46:10,True,False,False
Мобіл-авто,"Full Stack, Web developer (Node.js, React)",Дистанційно,32 000 – 80 000 грн,https://www.work.ua/jobs/5373880,2025-10-20 10:51:26,True,False,False
6 центр рекрутингу Сил Безпілотних Систем,"Програміст С, С++, Python",Вся Україна,50 000 грн,https://www.work.ua/jobs/7315354,Не вказано,True,False,False
АВ-Софт,Програміст 1C,Дистанційно,50 000 – 90 000 грн,https://www.work.ua/jobs/5574102,2025-10-20 07:32:29,True,False,False
"Школа Героїв, БФ",IOS-програміст,Дистанційно,60 000 – 100 000 грн,https://www.work.ua/jobs/6098001,2025-10-20 03:25:43,True,False,False
"Школа Героїв, БФ",Android-програміст,Дистанційно,60 000 – 100 000 грн,https://www.work.ua/jobs/6097998,2025-10-20 03:25:36,True,False,False
"Школа Героїв, БФ",Front-end програміст,Дистанційно,Не вказано,https://www.work.ua/jobs/6097962,2025-10-20 03:25:28,True,False,False
"Школа Героїв, БФ",Back-end програміст,Дистанційно,60 000 – 100 000 грн,https://www.work.ua/jobs/6097989,2025-10-20 03:25:16,True,False,False
HighCraft.io,Middle Full Stack .NET developer,Дистанційно,65 000 – 90 000 грн,https://www.work.ua/jobs/6502912,2025-10-20 01:20:06,True,False,False
This is Software,"Middle Full Stack Developer (React, Node.js)",Дистанційно,Не вказано,https://www.work.ua/jobs/7283014,2025-10-19 13:10:58,False,False,False
This is Software,"Junior Full Stack Developer (React, Node.js)",Дистанційно,Не вказано,https://www.work.ua/jobs/7282975,2025-10-19 12:31:56,False,False,False
Pavlyk,Програміст BAS ERP,Дистанційно,Не вказано,https://www.work.ua/jobs/6958480,2025-10-18 12:35:39,True,False,False
Bitslap.it,Full-stack developer for a startup (intern),Дистанційно,Не вказано,https://www.work.ua/jobs/5122358,2025-10-18 12:26:22,False,False,False
WebComplete,WordPress-розробник,Дистанційно,Не вказано,https://www.work.ua/jobs/4901568,2025-10-18 11:53:49,False,False,False
Revive&Thrive,"Верстальник, Frontend-розробник",Дистанційно,10 000 – 30 000 грн,https://www.work.ua/jobs/7281895,2025-10-17 22:17:52,True,False,False
Bitco,Middle PHP developer,Дистанційно,80 000 грн,https://www.work.ua/jobs/6451066,2025-10-17 20:25:47,False,False,False
DevCube,.NET Developer for Biotechnology Systems,Дистанційно,120 250 – 133 500 грн,https://www.work.ua/jobs/7281565,2025-10-17 18:19:19,False,False,False
6 центр рекрутингу Сил Безпілотних Систем,Спеціаліст з моделювання та симуляції,Вся Україна,50 000 грн,https://www.work.ua/jobs/7315336,Не вказано,True,False,False
Recruitme.club,Junior Android Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7281409,2025-10-17 17:41:54,False,True,False
"Codelibry (Омельченко В.О., ФОП)",Програміст WordPress,Дистанційно,35 000 – 45 000 грн,https://www.work.ua/jobs/6018588,2025-10-17 16:11:55,True,False,False
SIA Efumo SSC,PHP developer,Дистанційно,52 000 – 79 000 грн,https://www.work.ua/jobs/6007614,2025-10-17 15:11:27,False,False,False
Interactivity,Розробник гібридних мобільних додатків (Hybrid Mobile App developer),Дистанційно,Не вказано,https://www.work.ua/jobs/7124536,2025-10-17 13:22:05,True,False,False
"Alpha Dominant Plus, Limited Liability",WordPress-розробник (інтерн),Дистанційно,Не вказано,https://www.work.ua/jobs/7279129,2025-10-17 13:06:29,False,False,False
Fernir,Javascript developer (стажер),Дистанційно,Не вказано,https://www.work.ua/jobs/6689842,2025-10-17 10:06:00,True,False,False
T3D,"Frontend Developer (Javascript, React, стажер)",Дистанційно,Не вказано,https://www.work.ua/jobs/7277113,2025-10-17 01:24:38,True,False,False
Blend,PHP Backend developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7276972,2025-10-16 21:44:22,False,False,False
Freedesstudio,"WordPress Developer (Middle, Senior)",Дистанційно,Не вказано,https://www.work.ua/jobs/7276045,2025-10-16 16:37:17,True,False,False
App-shake,"Full Stack Developer (React/NestJS, E-Commerce Raffle Platform)",Дистанційно,100 000 грн,https://www.work.ua/jobs/7275982,2025-10-16 16:30:30,False,False,False
Qwerty-soft,"Full Stack, WordPress developer (Middle+)",Дистанційно,42 000 – 52 000 грн,https://www.work.ua/jobs/6464650,2025-10-16 14:10:44,False,False,False
"Jungle, кав'ярня","Kotlin, Android-розробник",Дистанційно,20 000 – 25 000 грн,https://www.work.ua/jobs/7274035,2025-10-16 12:28:03,False,False,False
Tern agency,IOS-розробник утиліт,Дистанційно,30 000 – 45 000 грн,https://www.work.ua/jobs/7272028,2025-10-15 21:42:57,True,False,False
"dZENcode, IT-Company",".Net-разработчик (Strong Junior, Middle)",Дистанційно,20 000 – 45 000 грн,https://www.work.ua/jobs/4396301,2025-10-15 19:07:50,True,False,False
"Хартія, 13-та БрОП НГУ","Програміст, військовослужбовець",Вся Україна,25 000 – 125 000 грн,https://www.work.ua/jobs/6534148,Не вказано,True,False,False
Atlas Partners,"Lead Engineer, Chief Developer",Дистанційно,Не вказано,https://www.work.ua/jobs/7270843,2025-10-15 16:34:09,False,False,False
UncleSolutions,Strong Junior Python Developer,Дистанційно,42 000 – 63 000 грн,https://www.work.ua/jobs/7270507,2025-10-15 16:03:12,True,False,False
Webnorth ApS,"WordPress, Full Stack Senior Developer",Дистанційно,159 000 – 208 700 грн,https://www.work.ua/jobs/7269760,2025-10-15 14:49:40,True,False,False
GS4B (Global Solutions for your Business),"Middle PHP Developer, Node.js",Дистанційно,Не вказано,https://www.work.ua/jobs/3811482,2025-10-15 12:02:10,True,False,False
Евсесвіт,Програміст BAS,Дистанційно,80 000 – 100 000 грн,https://www.work.ua/jobs/6127564,2025-10-15 10:56:18,True,False,False
Fitofan,Front-End Developer (Next.js),Дистанційно,40 000 – 60 000 грн,https://www.work.ua/jobs/7266850,2025-10-15 05:33:53,False,False,False
EcomSolutions,Senior Electron Developer,Дистанційно,140 000 – 180 000 грн,https://www.work.ua/jobs/7266808,2025-10-15 00:15:44,False,False,False
Fluir,Android-розробник (Kotlin),Дистанційно,20 000 – 40 000 грн,https://www.work.ua/jobs/7266631,2025-10-14 21:39:29,False,False,False
MІН10ІКС,PHP developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7265557,2025-10-14 16:41:03,True,False,False
Coures,Python developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7265107,2025-10-14 15:55:35,True,False,False
EMiS,Розробник штучного інтелекту,Дистанційно,60 000 грн,https://www.work.ua/jobs/6637855,2025-10-14 15:49:03,True,False,False
Dots mobile,IOS Developer (Swift/SwiftUI),Дистанційно,60 000 – 100 000 грн,https://www.work.ua/jobs/6967441,2025-10-14 14:43:32,False,False,False
Adtelligent,Golang developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7261921,2025-10-14 10:19:22,True,False,False
MacroGlide,Front-end програміст,Дистанційно,10 000 – 25 000 грн,https://www.work.ua/jobs/7060768,2025-10-13 22:00:55,False,False,False
"Азов, 12-та бригада спеціального призначення НГУ",Розробник Wordpress,Вся Україна,27 000 – 127 000 грн,https://www.work.ua/jobs/6482155,Не вказано,True,False,False
"Овчаренко Б.Ю., ФОП",Python Developer,Дистанційно,45 000 – 65 000 грн,https://www.work.ua/jobs/7260931,2025-10-13 20:53:16,True,False,False
EzTechTonic,"Інтегратор, n8n/JavaScript Developer",Дистанційно,60 000 – 120 000 грн,https://www.work.ua/jobs/7260490,2025-10-13 18:01:44,False,False,False
OnLifeTime,Social Media Chatbot Developer,Дистанційно,20 000 – 60 000 грн,https://www.work.ua/jobs/7260388,2025-10-13 17:41:53,True,False,False
FTD Company,Full-Stack Developer (Crypto/Automation/Telegram Bots),Дистанційно,25 000 – 70 000 грн,https://www.work.ua/jobs/7260106,2025-10-13 17:08:50,True,False,False
Out of the Box Systems,"Front-End, Interactive Developer",Дистанційно,Не вказано,https://www.work.ua/jobs/6848197,2025-10-13 16:12:41,False,False,False
Fluir,"IOS-розробник (Swift, UI Kit)",Дистанційно,40 000 – 45 000 грн,https://www.work.ua/jobs/7258126,2025-10-13 14:01:07,False,False,False
Systemer agency,"Інтегратор CRM, розробник чат-ботів",Дистанційно,25 000 – 30 000 грн,https://www.work.ua/jobs/7257901,2025-10-13 13:31:55,True,False,False
Awery Aviation Software,Full stack developer,Дистанційно,Не вказано,https://www.work.ua/jobs/5270059,2025-10-13 12:26:20,True,False,False
Extrums,WordPress Developer,Дистанційно,62 250 – 124 500 грн,https://www.work.ua/jobs/6126460,2025-10-13 12:24:34,True,False,False
Avis Digital Studio,"Web developer (Frontend, зі знанням CMS WordPress)",Дистанційно,33 000 – 42 000 грн,https://www.work.ua/jobs/7063429,2025-10-13 10:42:10,True,False,False
DevIT Group,Shopify Theme Developer﻿﻿,Дистанційно,50 000 – 63 000 грн,https://www.work.ua/jobs/7255918,2025-10-13 09:43:20,True,False,False
"Split Development, LLC",Shopify Developer,Дистанційно,29 000 – 44 000 грн,https://www.work.ua/jobs/4920020,2025-10-12 14:40:13,True,False,False
NarsCars,Python Developer (Odoo),Дистанційно,Не вказано,https://www.work.ua/jobs/6171484,2025-10-11 22:09:58,True,False,False
Rivo.Agency,WordPress-розробник,Дистанційно,Не вказано,https://www.work.ua/jobs/3594900,2025-10-11 00:34:31,True,False,False
"Nemesis, 412 окремий полк безпілотних систем (СБС)","Middl, JS Full Stack developer",Вся Україна,50 000 – 120 000 грн,https://www.work.ua/jobs/6855469,Не вказано,True,False,False
BSX,"Middle iOS Developer (Swift, Mobile Apps)",Дистанційно,Не вказано,https://www.work.ua/jobs/7253377,2025-10-10 18:09:42,True,False,False
Bazhane BTQ,Middle Full Stack Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7253314,2025-10-10 17:54:53,True,False,False
Kassavirtanen Oy,Back end developer,Дистанційно,Не вказано,https://www.work.ua/jobs/4829375,2025-10-10 17:42:05,False,False,False
Piche Ltd,Junior Python Developer,Дистанційно,42 000 грн,https://www.work.ua/jobs/7040299,2025-10-10 16:25:32,False,False,False
PintaWebWare,React native developer,Дистанційно,Не вказано,https://www.work.ua/jobs/4281925,2025-10-10 15:18:30,True,False,False
Xtheta Consulting,Middle Shopify Full Stack Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7251577,2025-10-10 14:07:45,False,False,False
It Marketing Ukraine,"Opencart Developer (аутсорсинг задач, створення і доробка сайтів)",Дистанційно,Не вказано,https://www.work.ua/jobs/5747951,2025-10-10 14:06:07,True,False,False
Xtheta Consulting,Senior Shopify Full Stack Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7251559,2025-10-10 14:04:31,False,False,False
Dots mobile,"IOS Developer (Swift, SwiftUI)",Дистанційно,40 000 – 60 000 грн,https://www.work.ua/jobs/7251424,2025-10-10 13:51:18,False,False,False
"Alpha Dominant Plus, Limited Liability","Team Lead Developer, керівник ІТ-відділу",Дистанційно,Не вказано,https://www.work.ua/jobs/7251421,2025-10-10 13:42:53,False,False,False
Mirko,"Middle PHP (Symfony, Laravel) Developer",Дистанційно,40 000 – 100 000 грн,https://www.work.ua/jobs/3912641,2025-10-10 13:13:49,True,False,False
GrandMA Studios,"Програміст ігрової логіки, скриптер",Дистанційно,Не вказано,https://www.work.ua/jobs/5311073,2025-10-10 13:04:58,True,False,False
"Водяницька Ю. В., ФОП",Frontend Developer,Дистанційно,45 000 грн,https://www.work.ua/jobs/7118635,2025-10-10 11:46:21,False,False,False
"Новоженов І. Г., ФОП",Розробник сайтів,Дистанційно,40 000 грн,https://www.work.ua/jobs/7119637,2025-10-10 11:44:40,False,False,False
6 центр рекрутингу Сил Безпілотних Систем,Embedded-програміст,Вся Україна,52 000 грн,https://www.work.ua/jobs/7182922,Не вказано,True,False,False
Smart Industry Group,PLC programmer,Дистанційно,40 000 – 100 000 грн,https://www.work.ua/jobs/5283056,2025-10-10 09:46:46,True,False,False
Charity Lab Foundation,Unity C# AR Developer (волонтерство),Дистанційно,Не вказано,https://www.work.ua/jobs/6375391,2025-10-09 15:55:14,True,False,False
Light Games Team,Unity3D С# developer,Дистанційно,32 000 – 82 000 грн,https://www.work.ua/jobs/3347726,2025-10-09 15:11:44,False,False,False
"Праздникова Р. Є., ФОП",Backend developer,Дистанційно,90 000 – 120 000 грн,https://www.work.ua/jobs/7112245,2025-10-09 12:38:20,False,False,False
"dZENcode, IT-Company",Розробник мобільних застосунків (Middle React Native),Дистанційно,37 500 – 82 500 грн,https://www.work.ua/jobs/5698346,2025-10-09 10:45:12,True,False,False
Context Profi,Розробник API-інтеграцій,Дистанційно,26 000 грн,https://www.work.ua/jobs/7244350,2025-10-08 22:59:28,True,False,False
ДБО Софт,IOS developer,Дистанційно,Не вказано,https://www.work.ua/jobs/471090,2025-10-08 21:51:14,True,False,False
Dots mobile,"React Native Developer (Expo, Bare)",Дистанційно,60 000 – 80 000 грн,https://www.work.ua/jobs/7244206,2025-10-08 21:03:49,False,False,False
"RichSubs, Sp. z o.o.",Flutter-розробник,Дистанційно,28 000 – 80 000 грн,https://www.work.ua/jobs/7244002,2025-10-08 19:30:40,True,False,False
SeeTree,Software developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6501541,2025-10-08 15:22:21,True,False,False
"BA Group, IT-компанія","Програміст 1С, BAF",Дистанційно,60 000 – 80 000 грн,https://www.work.ua/jobs/5832195,2025-10-08 14:13:28,True,False,False
Context Profi,Junior API Developer,Дистанційно,25 000 грн,https://www.work.ua/jobs/7152496,2025-10-08 01:57:05,True,False,False
XDev,"Бізнес-аналітик (платформа Сreatiо, BA), Low-Code Developer",Дистанційно,Не вказано,https://www.work.ua/jobs/7238488,2025-10-07 19:30:30,True,False,False
XDev,Розробник (платформа Creatio),Дистанційно,Не вказано,https://www.work.ua/jobs/7238425,2025-10-07 18:56:21,True,False,False
"Артан, спецпідрозділ ГУР МО",Інженер-розробник роботизованих систем,Вся Україна,45 000 – 170 000 грн,https://www.work.ua/jobs/7313869,Не вказано,True,False,False
"Елвін Шоп, ТОВ","Junior Full-Stack Web-Developer (PHP, Laravel, React, SCSS)",Дистанційно,35 000 – 42 000 грн,https://www.work.ua/jobs/7238077,2025-10-07 17:43:08,True,False,False
Dots mobile,Flutter Developer,Дистанційно,30 000 – 60 000 грн,https://www.work.ua/jobs/6811117,2025-10-07 16:04:10,False,False,False
To Double,"Junior Developer (Java, React)",Дистанційно,Не вказано,https://www.work.ua/jobs/7236619,2025-10-07 15:07:39,False,False,False
AEstAR,React-розробник,Дистанційно,60 000 – 80 000 грн,https://www.work.ua/jobs/7128148,2025-10-07 11:26:19,True,False,False
E.S.D of Mindconnect,"Strong Junior Fullstack developer (jQuery, PHP)",Дистанційно,30 000 – 35 000 грн,https://www.work.ua/jobs/6668929,2025-10-07 09:24:02,True,False,False
Dreamvention,"Middle Front-End Developer (Nuxt. JS, TypeScript, Clean/Slice Architecture)",Дистанційно,40 000 – 60 000 грн,https://www.work.ua/jobs/6499651,2025-10-06 23:31:30,False,False,False
"Alternativa, Engineering agency","Програміст, Full stack, Web developer",Дистанційно,60 000 грн,https://www.work.ua/jobs/4803697,2025-10-06 21:19:35,True,True,False
Dinamicka Development,"Full-stack Developer﻿ (PHP, Laravel)",Дистанційно,Не вказано,https://www.work.ua/jobs/3940506,2025-10-06 19:51:35,True,False,False
Svitbus,AI Automation specialist,Дистанційно,Не вказано,https://www.work.ua/jobs/7232425,2025-10-06 19:29:13,True,False,False
Ubermensch Agency,"WordPress Developer, UI/UX Designer, програміст",Дистанційно,40 000 – 80 000 грн,https://www.work.ua/jobs/7231156,2025-10-06 16:24:32,False,False,False
SoftSprint,"Junior, Middle PHP developer (Full Stack)",Дистанційно,Не вказано,https://www.work.ua/jobs/4777516,2025-10-06 16:16:16,True,False,False
Svitbus,FullStack-розробник (Yii2),Дистанційно,Не вказано,https://www.work.ua/jobs/7230787,2025-10-06 15:57:06,True,False,False
4K-Soft,Strong Junior FullStack Web Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/5647016,2025-10-06 13:47:35,True,False,False
Learn to Earn Global,Розробник інтелектуальних систем,Дистанційно,30 000 – 70 000 грн,https://www.work.ua/jobs/7229419,2025-10-06 13:44:07,True,False,False
Батальйон безпілотних систем FATUM 60 ОМБр,Інженер-програміст БПЛА (R&D),Вся Україна,50 000 – 120 000 грн,https://www.work.ua/jobs/7311181,Не вказано,False,False,False
New.biz.ua,"Developer Microsoft Power Platform, API-інтегратор (Junior)",Дистанційно,Не вказано,https://www.work.ua/jobs/7228426,2025-10-06 12:03:41,True,False,False
"Вакстрейд, ТОВ","Програміст 1C, BAS",Дистанційно,40 000 – 50 000 грн,https://www.work.ua/jobs/6980584,2025-10-06 11:42:47,True,False,False
BJet,Odoo/Python Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6228917,2025-10-06 10:14:32,False,False,False
"Staffman, LLC",Senior Backend developer (Node.js),Дистанційно,190 000 – 250 000 грн,https://www.work.ua/jobs/7091857,2025-10-06 09:37:56,True,True,False
Apelvil,Розробник BAS,Дистанційно,35 000 – 100 000 грн,https://www.work.ua/jobs/4773680,2025-10-06 08:51:38,True,False,False
Inmarket Australia,Middle Full-stack PHP developer,Дистанційно,50 000 – 81 500 грн,https://www.work.ua/jobs/7225615,2025-10-05 05:38:39,False,False,False
"Петров В.В., ФОП",Junior Java developer (trainee),Дистанційно,15 000 – 25 000 грн,https://www.work.ua/jobs/7069966,2025-10-04 21:13:07,False,False,False
GeekGroup,.NET Developer,Дистанційно,40 000 – 120 000 грн,https://www.work.ua/jobs/6387430,2025-10-04 17:20:35,True,False,False
GeekGroup,MS SQL Developer,Дистанційно,40 000 – 120 000 грн,https://www.work.ua/jobs/7156888,2025-10-04 17:20:28,True,False,False
B2bCase,Розробник (BAS Малий бізнес),Дистанційно,Не вказано,https://www.work.ua/jobs/3920115,2025-10-04 11:28:08,True,False,False
"Петров В.В., ФОП",Python Junior Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6702664,2025-10-03 16:54:07,False,False,False
OmIT Solutions,"Junior, Trainee Web Developer",Дистанційно,10 000 – 20 000 грн,https://www.work.ua/jobs/6178618,2025-10-03 14:00:52,False,False,False
"Team Play, Recruiting agency",Розробник 1C,Дистанційно,100 000 – 120 000 грн,https://www.work.ua/jobs/7221994,2025-10-03 13:45:55,True,True,False
Smart Tech Systems Limited,Delphi developer,Дистанційно,40 000 – 45 000 грн,https://www.work.ua/jobs/7220974,2025-10-03 11:26:34,True,False,False
81 ОАеМБр,"Програміст, військовослужбовець",Вся Україна,21 000 – 71 000 грн,https://www.work.ua/jobs/6565051,Не вказано,True,False,False
VY,"Full stack, WordPress developer",Дистанційно,Не вказано,https://www.work.ua/jobs/7219678,2025-10-02 21:11:07,False,False,False
PayFlow Solutions,"Вебмайстер, WordPress-розробник, програміст",Дистанційно,Не вказано,https://www.work.ua/jobs/7219192,2025-10-02 17:45:12,False,False,False
IT.Artel,Програміст C# (ERP IT-Enterprise),Дистанційно,Не вказано,https://www.work.ua/jobs/7062997,2025-10-02 17:16:57,True,False,False
Charity Lab Foundation,"React Developer (Middle/Senior, волонтерство)",Дистанційно,Не вказано,https://www.work.ua/jobs/5851652,2025-10-02 16:23:15,True,False,False
Charity Lab Foundation,"Back-end C#, .Net developer, волонтер",Дистанційно,Не вказано,https://www.work.ua/jobs/5601557,2025-10-02 16:23:07,True,False,False
Charity Lab Foundation,"Flutter Developer (Middle, Senior), волонтер",Дистанційно,Не вказано,https://www.work.ua/jobs/5851639,2025-10-02 16:22:56,True,False,False
"Дерябіна Н. Є., ФОП",Front-end Developer,Дистанційно,35 000 – 45 000 грн,https://www.work.ua/jobs/7091968,2025-10-02 16:10:08,False,False,False
"Огірок В. В., ФОП",Fullstack Developer,Дистанційно,58 000 – 62 000 грн,https://www.work.ua/jobs/7091410,2025-10-02 16:03:11,False,False,False
ProSoftStudio,"Розробник мобільних додатків, mobile developer software engineer",Дистанційно,35 000 – 55 000 грн,https://www.work.ua/jobs/7217257,2025-10-02 14:50:37,False,False,False
PSP Express,Програміст PHP (Senior),Дистанційно,Не вказано,https://www.work.ua/jobs/7052344,2025-10-02 13:58:52,True,False,True
"Енсіті, ТОВ","Програміст BAS, 1С",Дистанційно,65 000 грн,https://www.work.ua/jobs/2092164,2025-10-02 10:21:39,True,False,False
Ta-Da!,Програміст 1C,Дистанційно,Не вказано,https://www.work.ua/jobs/7214986,2025-10-02 10:00:09,True,False,False
Реарден Груп (EBS),Провідний програміст 1С/BAS,Дистанційно,80 000 – 110 000 грн,https://www.work.ua/jobs/4160037,2025-10-02 07:04:30,True,False,True
Liquidfish,"UI/UX Designer, Webflow developer",Дистанційно,60 000 – 90 000 грн,https://www.work.ua/jobs/7214086,2025-10-01 19:38:42,True,False,False
116 ОБр Сил ТрО,"Інженер-програміст БПЛА, фахівець з інтеграції та прошивки",Вся Україна,50 000 – 52 000 грн,https://www.work.ua/jobs/6834493,Не вказано,True,False,False
Designers,Full stack програміст,Дистанційно,Не вказано,https://www.work.ua/jobs/7213993,2025-10-01 18:58:37,False,False,False
SunCode Team,Strong Middle Back-end Developer (NodeJS),Дистанційно,37 800 – 63 000 грн,https://www.work.ua/jobs/7213600,2025-10-01 18:37:34,False,False,False
"Ю-Форсе, НВК, ТОВ","Embedded Developer, програміст мікроконтролерів ESP32, STM32",Дистанційно,Не вказано,https://www.work.ua/jobs/7212856,2025-10-01 16:53:14,True,False,False
"Rask, група компаній",Розробник-архітектор (BAS),Дистанційно,Не вказано,https://www.work.ua/jobs/7084027,2025-10-01 16:31:22,True,False,False
Viso,Junior Full Stack developer,Дистанційно,Не вказано,https://www.work.ua/jobs/5626902,2025-10-01 15:57:31,True,False,False
P4P,"C#, ASP.NET Core Developer",Дистанційно,20 000 – 40 000 грн,https://www.work.ua/jobs/7211995,2025-10-01 14:42:30,True,False,False
Job Advice Agency,Програміст 1C,Дистанційно,Не вказано,https://www.work.ua/jobs/7062121,2025-10-01 13:35:59,False,True,False
Rovex Telecom,"Розробник С, С++",Дистанційно,Не вказано,https://www.work.ua/jobs/7210204,2025-10-01 11:24:54,True,False,False
Davydov Consulting,Full Stack Java Script програміст,Дистанційно,15 000 – 17 000 грн,https://www.work.ua/jobs/4150903,2025-10-01 09:19:43,True,False,False
"Мельник О.І., ФОП (IT-компанія)","Junior Python Developer (AI, Django, API, Automation, Bots, Scrapers)",Дистанційно,20 000 – 30 000 грн,https://www.work.ua/jobs/7208953,2025-10-01 09:13:08,True,False,False
Kauri.One,Senior Python developer,Дистанційно,223 600 грн,https://www.work.ua/jobs/7208689,2025-09-30 23:33:06,False,False,False
Яхонт,Інженер-програміст АСУ ТП,Дистанційно,Не вказано,https://www.work.ua/jobs/7206883,2025-09-30 15:28:03,True,False,False
Concert.ua,ERP developer,Дистанційно,Не вказано,https://www.work.ua/jobs/6985834,2025-09-30 14:23:49,True,False,False
Go interactive!,Middle Full-Stack Developer (PHP/Angular),Дистанційно,Не вказано,https://www.work.ua/jobs/7205278,2025-09-30 12:31:56,True,False,False
"Азов, 12-та бригада спеціального призначення НГУ",Розробник Webflow,Вся Україна,27 000 – 127 000 грн,https://www.work.ua/jobs/6536071,Не вказано,True,False,False
CreditGo,Програміст PHP,Дистанційно,Не вказано,https://www.work.ua/jobs/7204006,2025-09-30 12:16:49,False,False,False
"Evocommerce, LTD","Full Stack developer (Laravel, PHP, e-commerce)",Дистанційно,Не вказано,https://www.work.ua/jobs/5961504,2025-09-30 11:16:19,True,False,False
Valmax,Middle Shopify Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7204534,2025-09-30 11:14:29,False,False,False
Інженум,"Програміст 1C, BAS",Дистанційно,55 000 – 85 000 грн,https://www.work.ua/jobs/3928458,2025-09-30 10:08:38,True,False,False
Finlite,Програміст 1C,Дистанційно,Не вказано,https://www.work.ua/jobs/6103485,2025-09-30 09:05:20,False,False,False
Actyc,Intermediate Mainframe Software Engineer,Дистанційно,Не вказано,https://www.work.ua/jobs/7202977,2025-09-29 19:09:26,True,False,False
Progressio agency,"Fullstack-розробник (Jquery, Laravel)",Дистанційно,20 000 – 40 000 грн,https://www.work.ua/jobs/6921208,2025-09-29 18:16:52,True,False,False
Netframe,Middle Odoo Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/7200958,2025-09-29 15:20:32,True,False,False
StarDesignz,Middle PHP developer (Vue.js),Дистанційно,45 000 – 70 000 грн,https://www.work.ua/jobs/4539891,2025-09-29 15:02:00,True,False,False
"Баклушин А. С., ФОП",Fullstack PHP-розробник (WordPress),Дистанційно,20 000 – 45 000 грн,https://www.work.ua/jobs/7200298,2025-09-29 13:26:26,False,False,False
Car-rent UA,Front-end програміст,Дистанційно,20 000 – 35 000 грн,https://www.work.ua/jobs/7200106,2025-09-29 13:09:19,True,False,False
Український процесінговий центр,Програміст PL/SQL Oracle,Дистанційно,Не вказано,https://www.work.ua/jobs/6947947,2025-09-29 09:56:45,True,False,False
"Ві-Код, ТОВ",Програміст BAS,Дистанційно,Не вказано,https://www.work.ua/jobs/7061557,2025-09-29 08:06:32,True,False,False
Apex Arcade Studios,Unity-програміст (Junior),Дистанційно,10 000 – 30 000 грн,https://www.work.ua/jobs/7197820,2025-09-28 20:49:28,False,False,False
Військова частина А4862,"Інженер-програміст, військовослужбовець",Вся Україна,50 000 – 125 000 грн,https://www.work.ua/jobs/7007827,Не вказано,False,False,False
Evryka - Digital Innovatove Solutions,Intern Software Developer,Дистанційно,Не вказано,https://www.work.ua/jobs/5721460,2025-09-28 14:26:31,True,False,False
